Year,CrudeOil,NaturalGas,Condensate,TotalExportsOfGoods,ShareOfTotalExportsOfGoods
1971,0,0,0,177,0%
1972,2,0,0,200,1%
1973,2,0,0,233,1%
1974,7,0,0,272,2%
1975,25,0,0,266,9%
1976,43,0,0,278,15%
1977,43,5,0,278,17%
1978,48,26,0,311,24%
1979,76,38,0,357,32%
1980,134,61,0,431,45%
1981,128,70,0,431,46%
1982,118,80,0,420,47%
1983,139,79,0,449,49%
1984,166,86,0,496,51%
1985,171,89,0,521,50%
1986,81,70,0,381,40%
1987,97,43,0,378,37%
1988,83,36,0,358,33%
1989,139,33,0,439,39%
1990,168,31,0,476,42%
1991,175,36,0,480,44%
1992,176,31,0,464,44%
1993,186,30,0,471,46%
1994,189,29,0,502,44%
1995,196,30,0,532,43%
1996,268,41,0,633,49%
1997,262,53,0,660,48%
1998,172,51,0,574,39%
1999,246,47,0,654,45%
2000,462,85,0,946,58%
2001,407,106,14,923,57%
2002,339,102,12,810,56%
2003,327,104,18,807,56%
2004,395,123,19,923,58%
2005,474,169,24,1095,61%
2006,495,235,28,1253,60%
2007,492,214,12,1264,57%
2008,550,327,17,1460,61%
2009,365,249,10,1096,57%
2010,413,233,9,1153,57%
2011,464,289,16,1298,59%
2012,440,362,15,1343,61%
2013,405,350,12,1288,59%
2014,389,308,11,1252,57%
2015,266,297,6,1126,51%
2016,244,210,5,978,47%
2017,285,259,6,1103,50%
2018,325,330,8,1244,53%
2019,304,217,7,1114,47%
2020,251,142,4,936,42%
2021,415,664,3,1733,62%
2022,610,1546,5,2922,74%
2023,560,653,6,1956,62%