year,oil,condensate,ngl,gas,total
1993,0.12,0.00,0.00,0.00,0.12
1994,3.89,0.00,0.00,0.00,3.89
1995,8.03,0.00,0.00,0.00,8.03
1996,20.63,0.00,0.00,0.00,20.63
1997,24.69,0.00,0.00,0.33,25.02
1998,30.90,0.00,0.00,0.57,31.47
1999,40.41,0.00,0.00,0.64,41.05
2000,44.51,0.10,0.12,1.16,45.89
2001,44.64,0.68,2.44,6.59,54.36
2002,41.56,2.59,3.12,9.41,56.69
2003,33.76,4.56,4.57,12.80,55.70
2004,30.74,4.58,5.27,14.35,54.94
2005,26.08,4.31,5.37,14.66,50.42
2006,26.91,4.64,6.18,15.77,53.49
2007,28.31,0.13,7.26,20.28,55.99
2008,25.38,0.97,7.77,31.77,65.88
2009,22.36,1.65,8.41,42.08,74.50
2010,20.98,1.53,7.78,40.70,70.99
2011,21.16,1.65,7.98,41.27,72.07
2012,19.25,1.73,7.64,40.84,69.47
2013,18.45,1.52,6.93,40.43,67.33
2014,20.13,1.36,7.47,41.71,70.67
2015,18.10,1.07,7.65,39.11,65.92
2016,14.43,1.06,7.03,39.22,61.74
2017,13.14,0.92,7.16,39.92,61.15
2018,12.43,0.83,6.94,37.43,57.63
2019,11.33,0.83,6.54,40.40,59.09
2020,10.87,0.79,5.67,39.23,56.56
2021,11.31,0.71,4.72,37.98,54.72
2022,10.36,0.63,3.77,39.71,54.46
2023,10.23,0.46,3.87,35.33,49.90
2024,8.03,0.45,2.98,30.28,41.74